,job_title,company,salary,location,date,job_desc
209,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
210,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
211,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
212,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
213,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
214,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
215,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
216,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
217,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
218,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
219,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
220,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
221,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
222,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
223,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
224,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
225,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
226,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
227,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
228,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
229,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
230,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
231,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
232,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
233,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
234,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
235,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
236,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
237,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
238,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
239,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
240,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
241,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
242,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
243,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
244,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
245,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
246,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
247,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
248,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
249,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
250,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
251,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
252,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
253,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
254,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
255,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
256,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
257,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
258,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
259,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
260,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
261,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
262,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
263,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
264,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
265,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
266,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
267,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
268,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
269,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
270,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
271,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
272,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
273,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
274,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
275,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
276,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
277,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
278,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
279,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
280,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
281,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
282,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
283,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
284,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
285,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
286,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
287,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
288,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
289,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
290,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
291,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
292,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
293,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
294,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
295,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
296,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
297,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
298,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
299,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
300,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
301,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
302,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
303,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
304,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
305,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
306,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
307,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
308,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
309,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
310,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
311,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
312,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
313,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
314,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
315,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
316,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
317,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
318,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
319,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
320,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
321,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
322,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
323,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
324,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
325,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
326,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
327,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
328,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
329,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
330,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
331,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
332,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
333,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
334,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
335,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
336,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
337,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
338,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
339,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
340,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
341,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
